คำศัพท์ (Technical Term)	คำอ่านไทย (Pronunciation)	ความหมาย (Translation/Definition)
DataFrame	                ดาต้า-เฟรม	                ตารางข้อมูล ที่มีทั้งแถว (Rows) และคอลัมน์ (Columns) เหมือน Sheet ใน Excel
Series	                    ซี-รีส์	                     ข้อมูลใน 1 คอลัมน์ เป็นข้อมูลแนวตั้งชุดเดียว
Library	                    ไล-บรา-รี	                ห้องสมุดโปรแกรม (ชุดโค้ดที่มีคนเขียนไว้ให้เราเรียกใช้)
Import	                    อิม-พอร์ต	                การนำเข้า (การเรียกใช้ Library มาไว้ในโค้ดเรา)
Function	                ฟัง-ชัน	                    ชุดคำสั่งหรือฟังก์ชันการทำงาน
Argument	                อาร์-กิว-เมนต์	              ค่าคงที่หรือตัวแปรที่เราส่งเข้าไปในฟังก์ชันเพื่อให้มันทำงาน
Data Exploration	        ดาต้า เอ็กซ์-โพล-เร-ชัน	        การสำรวจข้อมูลเบื้องต้น เพื่อดูภาพรวม
Data Type	                ดาต้า ไทป์	                ชนิดของข้อมูล (เช่น ตัวเลข, ข้อความ, วันที่)
Null / Missing Value	    นัล / มิส-ซิง แว-ลู	           ข้อมูลที่ว่างเปล่า หรือข้อมูลที่หายไป
Statistics	                สตา-ติส-ติกส์	             ค่าสถิติ (เช่น ค่าเฉลี่ย, ค่ามากสุด-น้อยสุด)
Object	                    ออบ-เจกต์	               วัตถุในโปรแกรม (สิ่งที่เราสร้างขึ้นมาเพื่อเก็บข้อมูลหรือคำสั่ง)
Metadata	                เม-ต้า-ดาต้า	            ข้อมูลที่อธิบายข้อมูล (เช่น รายชื่อ Sheet, จำนวนคอลัมน์)
Efficient	                เอฟ-ฟิ-เชียนท์	             มีประสิทธิภาพ (ประหยัดเวลา/ทรัพยากรเครื่อง)
Parsing	                    พาร์-ซิง	                การอ่านและตีความข้อมูลจากไฟล์
Object	                    ออบ-เจกต์	                สิ่งที่เราสร้างขึ้นในโปรแกรมเพื่อใช้จัดการข้อมูล
Attribute	                แอท-ทริ-บิวต์	            คุณสมบัติหรือข้อมูลที่อยู่ในตัว Object นั้น ๆ (เช่น ชื่อชีท)
Method	                    เมธ-ธอด	                  ความสามารถหรือฟังก์ชันที่ Object นั้นทำได้ (เช่น การสั่งให้อ่านข้อมูล)
Iterate	                    อิ-เทอ-เรท	                การทำซ้ำ หรือการวนลูปเพื่อเข้าถึงข้อมูลทีละชิ้น
Scientific Notation	        ไซ-เอน-ทิ-ฟิก โน-เท-ชัน	    สัญกรณ์วิทยาศาสตร์ เลขยกกำลัง (เช่น 9.6E+09) ที่ Excel มักจะแปลงให้เราอัตโนมัติเมื่อตัวเลขยาวเกินไป
Formatting	                ฟอร์-แมต-ติง	            การจัดรูปแบบการแสดงผล (สิ่งที่ป๋าเห็นใน Excel อาจไม่ใช่ค่าจริงที่เก็บในไฟล์)
Float	                    โฟลต	                    เลขทศนิยม Pandas มักจะอ่านตัวเลขยาว ๆ แล้วเติม .0 ให้ข้างหลัง
Mock Data	                ม็อค ดาต้า	                ข้อมูลจำลอง ที่สร้างขึ้นมาเพื่อใช้ทดสอบระบบแทนข้อมูลจริง
Anonymization	            อะ-นอ-นิ-ไม-เซ-ชัน	        การทำให้ข้อมูลไม่ระบุตัวตน เช่น เปลี่ยนชื่อลูกค้าจริงเป็นชื่อสมมติ
Hardcoding	                ฮาร์ด-โค้ด-ดิง	              การเขียนค่าลงในโค้ดโดยตรง (ใช้สร้าง Mock Data แบบง่าย ๆ)
Dictionary	                ดิก-ชัน-นะ-รี	              โครงสร้างข้อมูลใน Python ที่เก็บค่าเป็นคู่ (Key: Value) เหมาะสำหรับสร้าง DataFrame
Data Casting	            ดาต้า แคส-ติง	            การ "แปลงร่าง" หรือเปลี่ยนชนิดข้อมูลจากแบบหนึ่งไปเป็นอีกแบบหนึ่ง
Mapping	                    แมพ-พิง	                    การจับคู่ข้อมูล (เช่น บอกว่าคอลัมน์นี้คู่กับ Type นี้)
Overwrite	                โอเวอร์-ไรต์	              การเขียนทับลงไปในตัวแปรเดิม
Parsing Error	            พาร์-ซิง เออร์-เรอร์	        ข้อผิดพลาดที่เกิดจากการพยายามแปลงข้อมูลที่แปลงไม่ได้ (เช่น เอา "ABC" ไปแปลงเป็นตัวเลข)
Bulk Conversion	            บัลค์ คอน-เวอร์-ชัน             การแปลงข้อมูลชุดใหญ่พร้อมกันในครั้งเดียว
Apply	                    อะ-พลาย	                    การประยุกต์ใช้ฟังก์ชันกับข้อมูลทุกชิ้นในกลุ่มที่เลือก
List	                    ลิสต์	                    รายการของข้อมูล (ใน Python จะอยู่ในเครื่องหมาย [ ])
